# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 1.0631 133.3579
 HME_DE3_2 0.2725 122.8793
 HME_DE2_1 0.2556 27.7380
 HME_DE2_2 0.1525 115.3908
 HME_DE1_1 0.0250 141.1577
 HME_DE1_2 0.1690 184.6088
  HME_D0_1 0.2031 251.8396
  HME_D0_2 0.1292 297.0091
 HME_DW1_1 1.3473 152.3434
 HME_DW2_1 0.5669 191.1687
 HME_SE3_1 0.0543 139.5766
 HME_SE3_2 0.1202 350.2787
 HME_SE3_3 0.0317 229.3181
 HME_SE3_4 0.0343 196.1567
 HME_SE2_1 0.0796 201.1785
 HME_SE2_2 0.2463 218.5746
 HME_SE2_3 0.0492 219.6336
 HME_SE2_4 0.0507 156.4400
 HME_SE1_1 0.0023 44.6641
 HME_SE1_2 0.0340 246.1013
 HME_SE1_3 0.0547 345.9349
 HME_SE1_4 0.0304 229.9394
  HME_S0_1 0.0032 187.6427
  HME_S0_2 0.0576 29.0413
  HME_S0_3 0.1573 15.6118
  HME_S0_4 0.0721 168.0741
 HME_SW1_1 0.0440 49.2612
 HME_SW1_2 0.1431 100.5482
 HME_SW1_3 0.2420 67.1396
 HME_SW1_4 0.1208 100.7708
 HME_SW2_1 0.4226 181.8536
 HME_SW2_2 0.5135 64.0917
 HME_SW2_3 0.4947 298.5919
 HME_SW2_4 0.4701 239.4602
 HME_SW3_1 0.4158 284.8004
 HME_SW3_2 0.3556 45.7272
 HME_SW3_3 0.1346 311.7587
 HME_SW3_4 0.0746 282.5378
 HME_SW4_1 0.2158 121.8845
 HME_SW4_2 0.1656 135.9969
 HME_SW4_3 0.1172 73.6290
 HME_SW4_4 0.0644 338.6332
 HME_SW6_1 0.1588 307.3239
 HME_SW6_2 0.1215 328.6667
 HME_SW6_3 0.0210 213.8147
 HME_TW3_1 0.2021 333.8720
 HME_TW3_2 0.1454 195.4475
 HME_TW3_3 0.3767 170.4962
 HME_TW3_4 0.1635 209.8887
