# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.9542 129.0827
 HME_DE3_2 0.3164 147.5661
 HME_DE2_1 0.2701 36.0418
 HME_DE2_2 0.1471 137.8129
 HME_DE1_1 0.0105 125.7834
 HME_DE1_2 0.1721 173.8572
  HME_D0_1 0.2559 233.7639
  HME_D0_2 0.0934 286.5205
 HME_DW1_1 1.1279 151.8621
 HME_DW2_1 0.4885 225.0611
 HME_SE3_1 0.0781 140.1533
 HME_SE3_2 0.0647 330.5604
 HME_SE3_3 0.0800 206.2989
 HME_SE3_4 0.0785 170.7965
 HME_SE2_1 0.0580 196.0707
 HME_SE2_2 0.2334 217.1039
 HME_SE2_3 0.0802 322.0604
 HME_SE2_4 0.0455 83.2360
 HME_SE1_1 0.0161 134.7013
 HME_SE1_2 0.0213 213.6625
 HME_SE1_3 0.0429 315.9309
 HME_SE1_4 0.0273 235.4319
  HME_S0_1 0.0201 132.6651
  HME_S0_2 0.0613 25.1770
  HME_S0_3 0.1401 349.4881
  HME_S0_4 0.0862 157.6722
 HME_SW1_1 0.0325 45.5261
 HME_SW1_2 0.1004 131.5471
 HME_SW1_3 0.3527 56.4606
 HME_SW1_4 0.1037 18.7525
 HME_SW2_1 0.3029 185.7891
 HME_SW2_2 0.2367 32.9140
 HME_SW2_3 0.6498 328.9458
 HME_SW2_4 0.1555 326.7384
 HME_SW3_1 0.2392 287.4542
 HME_SW3_2 0.2403 45.0205
 HME_SW3_3 0.0458 191.3999
 HME_SW3_4 0.0734 327.4790
 HME_SW4_1 0.3640 149.2859
 HME_SW4_2 0.1989 154.0664
 HME_SW4_3 0.0943 76.9051
 HME_SW4_4 0.0652 340.0851
 HME_SW6_1 0.1927 313.2075
 HME_SW6_2 0.0809 324.0446
 HME_SW6_3 0.0241 197.6944
 HME_TW3_1 0.0381 10.7708
 HME_TW3_2 0.0475 166.6233
 HME_TW3_3 0.2539 132.2532
 HME_TW3_4 0.1539 317.5225
