# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.5350 128.3449
 HME_DE3_2 0.3110 145.5407
 HME_DE2_1 0.1809 80.7579
 HME_DE2_2 0.0903 75.7323
 HME_DE1_1 0.0029 281.9058
 HME_DE1_2 0.0440 178.0885
  HME_D0_1 0.0974 210.8001
  HME_D0_2 0.0799 293.8258
 HME_DW1_1 1.2983 174.5313
 HME_DW2_1 0.3122 230.6722
 HME_SE3_1 0.0531 149.2401
 HME_SE3_2 0.0857 7.2400
 HME_SE3_3 0.1136 161.4303
 HME_SE3_4 0.0734 175.3704
 HME_SE2_1 0.0213 224.4704
 HME_SE2_2 0.0972 188.8881
 HME_SE2_3 0.0728 169.7895
 HME_SE2_4 0.0758 115.6005
 HME_SE1_1 0.0256 119.8999
 HME_SE1_2 0.0148 214.5774
 HME_SE1_3 0.0569 0.7314
 HME_SE1_4 0.0932 248.3982
  HME_S0_1 0.0138 288.6613
  HME_S0_2 0.0687 40.3646
  HME_S0_3 0.2067 1.5802
  HME_S0_4 0.0957 191.0093
 HME_SW1_1 0.0467 186.1101
 HME_SW1_2 0.1121 52.4831
 HME_SW1_3 0.1748 63.7951
 HME_SW1_4 0.0725 353.7204
 HME_SW2_1 0.2889 144.3025
 HME_SW2_2 0.2821 107.2370
 HME_SW2_3 0.9377 340.3858
 HME_SW2_4 0.1544 7.2802
 HME_SW3_1 0.1890 251.0684
 HME_SW3_2 0.3830 164.7508
 HME_SW3_3 0.0319 26.8969
 HME_SW3_4 0.0861 231.7857
 HME_SW4_1 0.2140 191.0911
 HME_SW4_2 0.0748 154.6034
 HME_SW4_3 0.2348 38.6309
 HME_SW4_4 0.1040 34.6315
 HME_SW6_1 0.1180 2.7143
 HME_SW6_2 0.0356 30.2994
 HME_SW6_3 0.0487 212.8358
 HME_TW3_1 0.0234 143.5960
 HME_TW3_2 0.0941 36.6763
 HME_TW3_3 0.5210 134.1507
 HME_TW3_4 0.1412 333.2359
