# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 1.2049 124.9958
 HME_DE3_2 0.2055 87.7622
 HME_DE2_1 0.3311 34.3250
 HME_DE2_2 0.2729 71.5058
 HME_DE1_1 0.0512 111.1132
 HME_DE1_2 0.2179 230.5858
  HME_D0_1 0.1485 251.9812
  HME_D0_2 0.1127 250.1541
 HME_DW1_1 0.8365 200.4879
 HME_DW2_1 0.2386 22.8069
 HME_SE3_1 0.0265 193.3818
 HME_SE3_2 0.1813 27.5233
 HME_SE3_3 0.0326 6.2132
 HME_SE3_4 0.0907 64.1914
 HME_SE2_1 0.0785 213.7386
 HME_SE2_2 0.0643 261.7378
 HME_SE2_3 0.1939 173.2968
 HME_SE2_4 0.0212 208.9220
 HME_SE1_1 0.0224 30.2439
 HME_SE1_2 0.0206 245.8449
 HME_SE1_3 0.1119 79.5793
 HME_SE1_4 0.0380 264.6408
  HME_S0_1 0.0294 284.0708
  HME_S0_2 0.0859 56.6354
  HME_S0_3 0.0479 48.8268
  HME_S0_4 0.0818 50.4875
 HME_SW1_1 0.0271 252.9859
 HME_SW1_2 0.1030 62.1324
 HME_SW1_3 0.0659 226.5164
 HME_SW1_4 0.0774 51.2097
 HME_SW2_1 0.1876 174.1298
 HME_SW2_2 1.0818 78.7420
 HME_SW2_3 0.5049 346.6934
 HME_SW2_4 0.0874 231.0628
 HME_SW3_1 0.1949 209.2138
 HME_SW3_2 0.2044 60.8310
 HME_SW3_3 0.1018 193.2522
 HME_SW3_4 0.0688 67.9441
 HME_SW4_1 0.0952 294.4872
 HME_SW4_2 0.1195 18.6553
 HME_SW4_3 0.0397 270.9503
 HME_SW4_4 0.0444 354.9814
 HME_SW6_1 0.0803 33.3248
 HME_SW6_2 0.0494 61.7511
 HME_SW6_3 0.0432 336.0481
 HME_TW3_1 0.1641 147.0791
 HME_TW3_2 0.0734 301.0570
 HME_TW3_3 0.1718 100.0097
 HME_TW3_4 0.2640 152.2888
