# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.9685 148.5411
 HME_DE3_2 0.2357 130.8280
 HME_DE2_1 0.2064 8.8669
 HME_DE2_2 0.2172 128.6722
 HME_DE1_1 0.0186 69.1673
 HME_DE1_2 0.2123 163.4967
  HME_D0_1 0.1432 283.9707
  HME_D0_2 0.1544 317.3810
 HME_DW1_1 1.0861 139.3303
 HME_DW2_1 0.5127 190.1169
 HME_SE3_1 0.0177 184.1406
 HME_SE3_2 0.1830 33.7280
 HME_SE3_3 0.0426 273.2213
 HME_SE3_4 0.0085 7.8263
 HME_SE2_1 0.0495 233.8900
 HME_SE2_2 0.1050 256.2161
 HME_SE2_3 0.1055 135.8849
 HME_SE2_4 0.0782 171.0890
 HME_SE1_1 0.0172 257.6638
 HME_SE1_2 0.0386 320.8615
 HME_SE1_3 0.0793 46.6620
 HME_SE1_4 0.1012 345.7571
  HME_S0_1 0.0144 232.5557
  HME_S0_2 0.0307 47.6838
  HME_S0_3 0.1455 34.0501
  HME_S0_4 0.0356 125.5745
 HME_SW1_1 0.0294 270.8811
 HME_SW1_2 0.0853 99.9977
 HME_SW1_3 0.0958 96.7499
 HME_SW1_4 0.1558 135.0493
 HME_SW2_1 0.0357 145.5908
 HME_SW2_2 1.0827 95.7255
 HME_SW2_3 0.4180 286.6354
 HME_SW2_4 0.4422 228.2245
 HME_SW3_1 0.2971 294.2642
 HME_SW3_2 0.3035 23.3023
 HME_SW3_3 0.0586 306.0347
 HME_SW3_4 0.0228 140.9344
 HME_SW4_1 0.0716 89.6355
 HME_SW4_2 0.1327 37.4597
 HME_SW4_3 0.0329 332.8134
 HME_SW4_4 0.0728 347.6791
 HME_SW6_1 0.0237 15.1574
 HME_SW6_2 0.0994 306.3356
 HME_SW6_3 0.0199 79.9229
 HME_TW3_1 0.0708 65.5474
 HME_TW3_2 0.1240 312.5472
 HME_TW3_3 0.2198 160.6769
 HME_TW3_4 0.2752 198.0683
