# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.9141 153.2341
 HME_DE3_2 0.2439 131.1366
 HME_DE2_1 0.2360 21.6852
 HME_DE2_2 0.2098 120.2875
 HME_DE1_1 0.0070 112.3890
 HME_DE1_2 0.1623 189.2505
  HME_D0_1 0.1635 262.6904
  HME_D0_2 0.1419 315.5468
 HME_DW1_1 1.0596 142.8032
 HME_DW2_1 0.4804 196.9324
 HME_SE3_1 0.0130 190.2818
 HME_SE3_2 0.2030 33.6819
 HME_SE3_3 0.0245 304.0299
 HME_SE3_4 0.0432 50.2530
 HME_SE2_1 0.0445 260.7797
 HME_SE2_2 0.0653 263.9300
 HME_SE2_3 0.0841 145.6513
 HME_SE2_4 0.0691 202.0615
 HME_SE1_1 0.0012 216.4289
 HME_SE1_2 0.0283 315.4339
 HME_SE1_3 0.1185 62.8772
 HME_SE1_4 0.0729 4.6553
  HME_S0_1 0.0097 340.5175
  HME_S0_2 0.0439 46.6165
  HME_S0_3 0.1111 46.2536
  HME_S0_4 0.0199 96.8422
 HME_SW1_1 0.0267 268.4937
 HME_SW1_2 0.1040 94.5436
 HME_SW1_3 0.0819 80.2158
 HME_SW1_4 0.1246 134.8925
 HME_SW2_1 0.1059 151.7988
 HME_SW2_2 1.1895 96.2497
 HME_SW2_3 0.3713 304.9242
 HME_SW2_4 0.3218 243.0505
 HME_SW3_1 0.2222 311.1799
 HME_SW3_2 0.2535 30.8367
 HME_SW3_3 0.0076 181.8849
 HME_SW3_4 0.0235 113.8300
 HME_SW4_1 0.0524 92.0586
 HME_SW4_2 0.1638 35.2851
 HME_SW4_3 0.0169 186.8574
 HME_SW4_4 0.0549 345.5370
 HME_SW6_1 0.0621 98.0952
 HME_SW6_2 0.0759 320.3431
 HME_SW6_3 0.0200 76.2182
 HME_TW3_1 0.0543 42.3643
 HME_TW3_2 0.2246 296.5972
 HME_TW3_3 0.1952 146.3954
 HME_TW3_4 0.2303 207.5758
