# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.4179 140.2917
 HME_DE3_2 0.1083 97.2828
 HME_DE2_1 0.2727 43.9190
 HME_DE2_2 0.1587 37.1547
 HME_DE1_1 0.0146 23.2798
 HME_DE1_2 0.0498 207.6189
  HME_D0_1 0.2101 216.1678
  HME_D0_2 0.1887 249.6030
 HME_DW1_1 0.9844 163.3939
 HME_DW2_1 0.1456 327.8652
 HME_SE3_1 0.0310 187.6003
 HME_SE3_2 0.1475 12.8774
 HME_SE3_3 0.0971 160.1376
 HME_SE3_4 0.0515 150.7584
 HME_SE2_1 0.0392 217.5860
 HME_SE2_2 0.1138 176.9734
 HME_SE2_3 0.2398 143.4612
 HME_SE2_4 0.0213 284.7487
 HME_SE1_1 0.0229 131.2703
 HME_SE1_2 0.0119 142.3602
 HME_SE1_3 0.0620 53.1458
 HME_SE1_4 0.0280 209.9961
  HME_S0_1 0.0288 26.1825
  HME_S0_2 0.0674 37.7771
  HME_S0_3 0.1776 347.2712
  HME_S0_4 0.0938 72.4384
 HME_SW1_1 0.0598 192.8473
 HME_SW1_2 0.1104 71.2734
 HME_SW1_3 0.1402 41.1748
 HME_SW1_4 0.0958 52.2420
 HME_SW2_1 0.2132 182.0938
 HME_SW2_2 0.6534 81.5742
 HME_SW2_3 0.9796 350.0248
 HME_SW2_4 0.3421 193.5632
 HME_SW3_1 0.1418 226.1782
 HME_SW3_2 0.2849 98.0303
 HME_SW3_3 0.1232 286.6817
 HME_SW3_4 0.1007 132.5812
 HME_SW4_1 0.1636 223.0293
 HME_SW4_2 0.1378 70.2372
 HME_SW4_3 0.1333 16.2052
 HME_SW4_4 0.0533 59.0563
 HME_SW6_1 0.0374 271.8534
 HME_SW6_2 0.0539 318.2180
 HME_SW6_3 0.0380 212.9344
 HME_TW3_1 0.0879 315.8499
 HME_TW3_2 0.0867 306.4474
 HME_TW3_3 0.3085 148.1814
 HME_TW3_4 0.2271 245.9944
