# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.6584 121.3281
 HME_DE3_2 0.2917 171.5928
 HME_DE2_1 0.2527 35.4358
 HME_DE2_2 0.1823 155.7243
 HME_DE1_1 0.0125 306.7426
 HME_DE1_2 0.1275 246.0235
  HME_D0_1 0.1925 216.9826
  HME_D0_2 0.1121 264.2570
 HME_DW1_1 0.8207 163.8240
 HME_DW2_1 0.5342 225.3480
 HME_SE3_1 0.0435 140.5003
 HME_SE3_2 0.0685 325.3554
 HME_SE3_3 0.0324 251.5297
 HME_SE3_4 0.0620 205.2849
 HME_SE2_1 0.0456 183.1303
 HME_SE2_2 0.1751 221.8372
 HME_SE2_3 0.0819 326.6271
 HME_SE2_4 0.0221 39.6621
 HME_SE1_1 0.0085 55.5766
 HME_SE1_2 0.0384 12.2842
 HME_SE1_3 0.0092 273.4304
 HME_SE1_4 0.0799 262.3136
  HME_S0_1 0.0155 243.1640
  HME_S0_2 0.0333 52.1310
  HME_S0_3 0.1298 18.0520
  HME_S0_4 0.1119 157.6683
 HME_SW1_1 0.0505 305.5005
 HME_SW1_2 0.0827 86.3321
 HME_SW1_3 0.1329 58.3276
 HME_SW1_4 0.1389 254.7080
 HME_SW2_1 0.1958 206.0733
 HME_SW2_2 0.5651 156.5738
 HME_SW2_3 0.4380 355.5572
 HME_SW2_4 0.2235 64.4288
 HME_SW3_1 0.2056 337.6806
 HME_SW3_2 0.0329 287.4806
 HME_SW3_3 0.0317 273.0515
 HME_SW3_4 0.0894 331.4014
 HME_SW4_1 0.2457 159.4001
 HME_SW4_2 0.1264 144.8590
 HME_SW4_3 0.0756 14.4251
 HME_SW4_4 0.0441 347.2991
 HME_SW6_1 0.0863 308.5034
 HME_SW6_2 0.0603 350.7064
 HME_SW6_3 0.0337 49.9723
 HME_TW3_1 0.0154 235.7592
 HME_TW3_2 0.0390 26.1483
 HME_TW3_3 0.3141 87.5882
 HME_TW3_4 0.1173 137.4747
