# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.7179 124.1619
 HME_DE3_2 0.2509 162.3536
 HME_DE2_1 0.2308 32.7302
 HME_DE2_2 0.1824 152.1023
 HME_DE1_1 0.0151 331.5083
 HME_DE1_2 0.0986 259.7006
  HME_D0_1 0.1575 225.9435
  HME_D0_2 0.1078 275.6668
 HME_DW1_1 0.8700 166.1293
 HME_DW2_1 0.5319 219.0208
 HME_SE3_1 0.0383 136.6660
 HME_SE3_2 0.0658 344.5504
 HME_SE3_3 0.0231 202.9954
 HME_SE3_4 0.0695 201.2156
 HME_SE2_1 0.0374 179.7574
 HME_SE2_2 0.1861 209.7102
 HME_SE2_3 0.0736 325.5966
 HME_SE2_4 0.0114 66.9864
 HME_SE1_1 0.0038 59.6141
 HME_SE1_2 0.0335 4.3462
 HME_SE1_3 0.0162 243.8610
 HME_SE1_4 0.0749 249.7913
  HME_S0_1 0.0060 272.8092
  HME_S0_2 0.0328 56.9876
  HME_S0_3 0.1193 11.9259
  HME_S0_4 0.1255 169.7280
 HME_SW1_1 0.0467 307.5779
 HME_SW1_2 0.0945 72.4842
 HME_SW1_3 0.1399 47.2678
 HME_SW1_4 0.1112 239.0007
 HME_SW2_1 0.1393 224.0352
 HME_SW2_2 0.4856 153.2092
 HME_SW2_3 0.3818 358.4596
 HME_SW2_4 0.1384 111.0745
 HME_SW3_1 0.2180 325.4748
 HME_SW3_2 0.0262 333.4182
 HME_SW3_3 0.0537 308.9670
 HME_SW3_4 0.0850 329.5236
 HME_SW4_1 0.2059 162.6230
 HME_SW4_2 0.1673 136.5808
 HME_SW4_3 0.0716 18.0101
 HME_SW4_4 0.0431 327.4865
 HME_SW6_1 0.0702 294.8539
 HME_SW6_2 0.0577 323.3127
 HME_SW6_3 0.0267 48.6820
 HME_TW3_1 0.0670 169.8563
 HME_TW3_2 0.0317 309.4780
 HME_TW3_3 0.3469 96.2939
 HME_TW3_4 0.1852 138.9982
