# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.5722 137.2909
 HME_DE3_2 0.2827 195.9674
 HME_DE2_1 0.1281 38.3847
 HME_DE2_2 0.2036 140.6143
 HME_DE1_1 0.0249 145.1789
 HME_DE1_2 0.1825 108.6450
  HME_D0_1 0.1249 223.7790
  HME_D0_2 0.1170 292.4035
 HME_DW1_1 1.4804 167.4592
 HME_DW2_1 0.6610 233.5177
 HME_SE3_1 0.0537 155.2177
 HME_SE3_2 0.0598 37.8394
 HME_SE3_3 0.0586 190.3536
 HME_SE3_4 0.0084 105.9022
 HME_SE2_1 0.0435 222.7146
 HME_SE2_2 0.1484 198.6831
 HME_SE2_3 0.1127 176.8074
 HME_SE2_4 0.1476 118.4558
 HME_SE1_1 0.0189 164.0829
 HME_SE1_2 0.0367 329.8229
 HME_SE1_3 0.0278 66.0711
 HME_SE1_4 0.1133 310.5918
  HME_S0_1 0.0283 128.2371
  HME_S0_2 0.0822 27.4534
  HME_S0_3 0.1597 334.2741
  HME_S0_4 0.1332 135.2970
 HME_SW1_1 0.0592 274.6952
 HME_SW1_2 0.0569 41.5533
 HME_SW1_3 0.1449 84.9847
 HME_SW1_4 0.2114 343.3952
 HME_SW2_1 0.2817 172.3597
 HME_SW2_2 0.3068 62.0989
 HME_SW2_3 0.6784 352.0693
 HME_SW2_4 0.1354 357.1097
 HME_SW3_1 0.1399 311.4473
 HME_SW3_2 0.4191 149.1223
 HME_SW3_3 0.0518 343.1695
 HME_SW3_4 0.1069 109.9397
 HME_SW4_1 0.1762 226.0609
 HME_SW4_2 0.1373 168.6197
 HME_SW4_3 0.1811 59.8835
 HME_SW4_4 0.0561 50.7557
 HME_SW6_1 0.1999 331.1224
 HME_SW6_2 0.0720 320.8402
 HME_SW6_3 0.0264 319.3100
 HME_TW3_1 0.0371 49.4126
 HME_TW3_2 0.1262 38.2157
 HME_TW3_3 0.4394 128.8841
 HME_TW3_4 0.2000 11.4986
