# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.5075 140.8165
 HME_DE3_2 0.3457 215.3383
 HME_DE2_1 0.1220 58.7658
 HME_DE2_2 0.2352 158.4509
 HME_DE1_1 0.0235 169.7340
 HME_DE1_2 0.1999 107.6198
  HME_D0_1 0.1360 227.6066
  HME_D0_2 0.1066 324.7150
 HME_DW1_1 1.6255 170.6791
 HME_DW2_1 0.6527 228.5501
 HME_SE3_1 0.0677 156.3243
 HME_SE3_2 0.0835 48.4242
 HME_SE3_3 0.0675 187.9939
 HME_SE3_4 0.0279 191.4090
 HME_SE2_1 0.0394 221.8370
 HME_SE2_2 0.1398 218.6285
 HME_SE2_3 0.0864 179.9237
 HME_SE2_4 0.1372 119.3687
 HME_SE1_1 0.0072 164.7519
 HME_SE1_2 0.0321 337.0120
 HME_SE1_3 0.0186 57.8487
 HME_SE1_4 0.1037 330.8629
  HME_S0_1 0.0302 105.2484
  HME_S0_2 0.0693 26.0861
  HME_S0_3 0.1534 339.0093
  HME_S0_4 0.0783 143.0114
 HME_SW1_1 0.0552 277.8292
 HME_SW1_2 0.0648 54.8139
 HME_SW1_3 0.1402 65.2666
 HME_SW1_4 0.1721 338.2050
 HME_SW2_1 0.2710 173.8509
 HME_SW2_2 0.3622 11.6600
 HME_SW2_3 0.6484 343.7114
 HME_SW2_4 0.2177 349.2831
 HME_SW3_1 0.1662 309.5260
 HME_SW3_2 0.3548 165.4660
 HME_SW3_3 0.0598 71.0917
 HME_SW3_4 0.0816 161.4796
 HME_SW4_1 0.1844 205.8142
 HME_SW4_2 0.1278 179.9038
 HME_SW4_3 0.1729 50.6366
 HME_SW4_4 0.0533 41.9052
 HME_SW6_1 0.1789 342.9753
 HME_SW6_2 0.0362 87.0530
 HME_SW6_3 0.0142 264.1154
 HME_TW3_1 0.0570 161.9993
 HME_TW3_2 0.1027 69.3439
 HME_TW3_3 0.4039 129.0267
 HME_TW3_4 0.3423 29.3515
