# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.6347 134.6163
 HME_DE3_2 0.2181 188.9956
 HME_DE2_1 0.1487 32.8468
 HME_DE2_2 0.1708 127.2317
 HME_DE1_1 0.0205 146.1707
 HME_DE1_2 0.1536 109.7241
  HME_D0_1 0.1428 233.9119
  HME_D0_2 0.1225 270.1690
 HME_DW1_1 1.3885 163.2132
 HME_DW2_1 0.5468 235.1288
 HME_SE3_1 0.0567 158.4118
 HME_SE3_2 0.0558 40.4955
 HME_SE3_3 0.0362 203.2862
 HME_SE3_4 0.0130 7.5839
 HME_SE2_1 0.0377 219.2871
 HME_SE2_2 0.1570 192.7397
 HME_SE2_3 0.1389 164.3598
 HME_SE2_4 0.1519 128.4291
 HME_SE1_1 0.0232 169.7178
 HME_SE1_2 0.0223 326.1339
 HME_SE1_3 0.0432 79.3153
 HME_SE1_4 0.1076 303.0671
  HME_S0_1 0.0241 130.5269
  HME_S0_2 0.0755 25.6398
  HME_S0_3 0.1743 340.4672
  HME_S0_4 0.1475 145.0485
 HME_SW1_1 0.0392 233.0413
 HME_SW1_2 0.0793 47.5564
 HME_SW1_3 0.2051 90.2442
 HME_SW1_4 0.1680 343.1923
 HME_SW2_1 0.2876 171.4283
 HME_SW2_2 0.3939 71.2801
 HME_SW2_3 0.7712 354.5979
 HME_SW2_4 0.0451 3.1353
 HME_SW3_1 0.1261 299.9899
 HME_SW3_2 0.4004 144.3048
 HME_SW3_3 0.0806 301.0797
 HME_SW3_4 0.0991 100.1922
 HME_SW4_1 0.1489 229.4522
 HME_SW4_2 0.1086 162.9057
 HME_SW4_3 0.1888 51.6641
 HME_SW4_4 0.0496 45.6157
 HME_SW6_1 0.1745 338.8390
 HME_SW6_2 0.1058 306.6153
 HME_SW6_3 0.0373 253.5171
 HME_TW3_1 0.0495 345.9609
 HME_TW3_2 0.1400 342.4025
 HME_TW3_3 0.4178 126.4597
 HME_TW3_4 0.1817 4.2193
