# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.2991 135.8148
 HME_DE3_2 0.2620 199.1292
 HME_DE2_1 0.1272 45.0650
 HME_DE2_2 0.2073 160.2004
 HME_DE1_1 0.0233 32.8793
 HME_DE1_2 0.1890 119.6121
  HME_D0_1 0.1349 227.8648
  HME_D0_2 0.0235 282.5578
 HME_DW1_1 1.6716 169.9633
 HME_DW2_1 0.2959 187.3957
 HME_SE3_1 0.0246 178.4755
 HME_SE3_2 0.0917 18.5497
 HME_SE3_3 0.0862 162.2716
 HME_SE3_4 0.0391 197.2051
 HME_SE2_1 0.0106 155.2468
 HME_SE2_2 0.0823 257.4825
 HME_SE2_3 0.0758 200.8091
 HME_SE2_4 0.0519 138.0892
 HME_SE1_1 0.0180 91.7334
 HME_SE1_2 0.0180 26.1927
 HME_SE1_3 0.0441 26.5747
 HME_SE1_4 0.0596 323.5089
  HME_S0_1 0.0083 117.5852
  HME_S0_2 0.0403 26.3008
  HME_S0_3 0.1215 343.6581
  HME_S0_4 0.1008 138.7790
 HME_SW1_1 0.0275 162.9177
 HME_SW1_2 0.0747 42.0943
 HME_SW1_3 0.1322 50.9182
 HME_SW1_4 0.1007 20.3221
 HME_SW2_1 0.3196 158.1985
 HME_SW2_2 0.3171 85.0097
 HME_SW2_3 0.8409 332.5316
 HME_SW2_4 0.2750 333.8565
 HME_SW3_1 0.1376 225.8740
 HME_SW3_2 0.1444 182.3436
 HME_SW3_3 0.0876 183.4629
 HME_SW3_4 0.0704 264.5514
 HME_SW4_1 0.2082 188.0529
 HME_SW4_2 0.1322 134.3253
 HME_SW4_3 0.2166 29.0995
 HME_SW4_4 0.0317 39.2654
 HME_SW6_1 0.0730 246.0003
 HME_SW6_2 0.0560 151.4299
 HME_SW6_3 0.0353 131.9560
 HME_TW3_1 0.0470 203.9490
 HME_TW3_2 0.1957 355.7060
 HME_TW3_3 0.3749 122.9300
 HME_TW3_4 0.1367 11.1931
