# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.4872 144.3387
 HME_DE3_2 0.1676 167.5462
 HME_DE2_1 0.0961 62.1559
 HME_DE2_2 0.1903 131.6907
 HME_DE1_1 0.0181 20.3085
 HME_DE1_2 0.2034 137.7035
  HME_D0_1 0.1013 257.7537
  HME_D0_2 0.0657 254.7403
 HME_DW1_1 1.5986 170.3949
 HME_DW2_1 0.2189 201.9570
 HME_SE3_1 0.0377 167.5742
 HME_SE3_2 0.0985 17.8881
 HME_SE3_3 0.0838 161.2706
 HME_SE3_4 0.0080 69.1942
 HME_SE2_1 0.0202 208.6295
 HME_SE2_2 0.0806 197.0703
 HME_SE2_3 0.1293 145.2000
 HME_SE2_4 0.0657 102.5474
 HME_SE1_1 0.0207 70.7670
 HME_SE1_2 0.0091 59.1833
 HME_SE1_3 0.0577 26.3402
 HME_SE1_4 0.0557 292.6341
  HME_S0_1 0.0094 83.8110
  HME_S0_2 0.0617 19.3638
  HME_S0_3 0.1205 343.8155
  HME_S0_4 0.1073 108.9888
 HME_SW1_1 0.0145 237.9923
 HME_SW1_2 0.1020 18.9234
 HME_SW1_3 0.2006 27.8131
 HME_SW1_4 0.1259 55.9229
 HME_SW2_1 0.3217 162.8576
 HME_SW2_2 0.6150 57.4010
 HME_SW2_3 0.9453 339.3260
 HME_SW2_4 0.2329 257.7353
 HME_SW3_1 0.2170 238.3622
 HME_SW3_2 0.1865 136.8194
 HME_SW3_3 0.0840 245.7571
 HME_SW3_4 0.0136 288.2398
 HME_SW4_1 0.1108 212.6463
 HME_SW4_2 0.1626 137.5479
 HME_SW4_3 0.2358 34.0889
 HME_SW4_4 0.0719 37.1751
 HME_SW6_1 0.0453 317.1248
 HME_SW6_2 0.0327 83.1271
 HME_SW6_3 0.0473 161.5239
 HME_TW3_1 0.0856 225.4712
 HME_TW3_2 0.1176 275.5078
 HME_TW3_3 0.3252 121.9846
 HME_TW3_4 0.0481 249.1432
