# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.5355 136.9295
 HME_DE3_2 0.0901 118.6910
 HME_DE2_1 0.1741 27.7367
 HME_DE2_2 0.0759 89.4803
 HME_DE1_1 0.0244 80.5836
 HME_DE1_2 0.0980 140.5968
  HME_D0_1 0.1357 222.0064
  HME_D0_2 0.1791 253.9638
 HME_DW1_1 1.2227 165.9923
 HME_DW2_1 0.1403 246.6654
 HME_SE3_1 0.0535 159.9278
 HME_SE3_2 0.1277 14.5625
 HME_SE3_3 0.0713 161.5358
 HME_SE3_4 0.0265 137.3203
 HME_SE2_1 0.0216 198.1697
 HME_SE2_2 0.1186 164.9606
 HME_SE2_3 0.1733 130.8278
 HME_SE2_4 0.0628 111.0036
 HME_SE1_1 0.0194 63.2930
 HME_SE1_2 0.0064 78.8186
 HME_SE1_3 0.0760 45.4112
 HME_SE1_4 0.0721 275.3431
  HME_S0_1 0.0060 50.5180
  HME_S0_2 0.0765 36.8199
  HME_S0_3 0.0938 345.4867
  HME_S0_4 0.0753 97.6062
 HME_SW1_1 0.0085 1.5061
 HME_SW1_2 0.0979 18.8770
 HME_SW1_3 0.1728 357.8041
 HME_SW1_4 0.1343 60.6209
 HME_SW2_1 0.2503 173.8869
 HME_SW2_2 0.8293 47.0360
 HME_SW2_3 0.9884 347.2986
 HME_SW2_4 0.4554 219.1533
 HME_SW3_1 0.1952 230.3959
 HME_SW3_2 0.3106 120.8229
 HME_SW3_3 0.1037 315.7495
 HME_SW3_4 0.0516 183.3330
 HME_SW4_1 0.0840 244.1457
 HME_SW4_2 0.1136 141.0442
 HME_SW4_3 0.1665 34.6703
 HME_SW4_4 0.0942 66.6949
 HME_SW6_1 0.0163 348.8342
 HME_SW6_2 0.0518 27.3291
 HME_SW6_3 0.0603 184.7568
 HME_TW3_1 0.1043 250.3993
 HME_TW3_2 0.0521 205.1878
 HME_TW3_3 0.3192 121.1733
 HME_TW3_4 0.1642 225.9421
