# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.2283 24.8190
 HME_DE3_2 0.2632 225.0689
 HME_DE2_1 0.1963 59.5582
 HME_DE2_2 0.2539 204.2083
 HME_DE1_1 0.0103 17.1571
 HME_DE1_2 0.1633 85.8794
  HME_D0_1 0.1636 167.3676
  HME_D0_2 0.0689 325.9562
 HME_DW1_1 1.3238 153.8323
 HME_DW2_1 0.3179 182.7341
 HME_SE3_1 0.0332 160.6302
 HME_SE3_2 0.1080 14.2804
 HME_SE3_3 0.0474 177.7018
 HME_SE3_4 0.0456 210.3132
 HME_SE2_1 0.0050 0.1187
 HME_SE2_2 0.1040 320.0041
 HME_SE2_3 0.0752 225.2623
 HME_SE2_4 0.0531 124.3863
 HME_SE1_1 0.0108 146.3643
 HME_SE1_2 0.0438 27.8300
 HME_SE1_3 0.0216 353.3442
 HME_SE1_4 0.0411 337.2033
  HME_S0_1 0.0096 62.4160
  HME_S0_2 0.0123 119.5810
  HME_S0_3 0.1265 340.8467
  HME_S0_4 0.0813 159.9253
 HME_SW1_1 0.0066 210.4725
 HME_SW1_2 0.0982 21.2165
 HME_SW1_3 0.1160 120.5089
 HME_SW1_4 0.0626 282.6316
 HME_SW2_1 0.2657 137.0677
 HME_SW2_2 0.2078 261.7679
 HME_SW2_3 0.7586 320.4562
 HME_SW2_4 0.3274 352.5050
 HME_SW3_1 0.0599 291.9423
 HME_SW3_2 0.1858 221.7033
 HME_SW3_3 0.0931 136.1809
 HME_SW3_4 0.0706 239.8918
 HME_SW4_1 0.2969 165.9738
 HME_SW4_2 0.0916 13.0029
 HME_SW4_3 0.1033 359.6410
 HME_SW4_4 0.0198 230.6926
 HME_SW6_1 0.0574 245.5995
 HME_SW6_2 0.0437 125.3644
 HME_SW6_3 0.0178 152.2885
 HME_TW3_1 0.0191 70.7264
 HME_TW3_2 0.0767 17.8229
 HME_TW3_3 0.2007 92.9573
 HME_TW3_4 0.2867 1.9256
