# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.8563 145.9294
 HME_DE3_2 0.1944 146.5256
 HME_DE2_1 0.1839 35.4629
 HME_DE2_2 0.1783 102.3665
 HME_DE1_1 0.0104 317.6245
 HME_DE1_2 0.0542 162.5726
  HME_D0_1 0.0794 271.0411
  HME_D0_2 0.1198 314.9631
 HME_DW1_1 1.2390 171.1109
 HME_DW2_1 0.3272 237.7245
 HME_SE3_1 0.0289 177.4282
 HME_SE3_2 0.1021 34.7496
 HME_SE3_3 0.0272 246.8242
 HME_SE3_4 0.0315 245.5529
 HME_SE2_1 0.0478 227.1188
 HME_SE2_2 0.1463 249.1462
 HME_SE2_3 0.0718 184.2648
 HME_SE2_4 0.0736 155.1920
 HME_SE1_1 0.0035 162.0427
 HME_SE1_2 0.0308 244.5031
 HME_SE1_3 0.0462 95.9008
 HME_SE1_4 0.0221 243.5745
  HME_S0_1 0.0024 158.5945
  HME_S0_2 0.0219 78.9167
  HME_S0_3 0.0562 4.2803
  HME_S0_4 0.0872 106.7519
 HME_SW1_1 0.0617 283.5426
 HME_SW1_2 0.0716 121.3679
 HME_SW1_3 0.0859 97.8186
 HME_SW1_4 0.1014 76.8956
 HME_SW2_1 0.1708 196.7411
 HME_SW2_2 0.8225 79.2991
 HME_SW2_3 0.3067 305.1107
 HME_SW2_4 0.3930 228.1813
 HME_SW3_1 0.0734 235.7646
 HME_SW3_2 0.2728 52.4286
 HME_SW3_3 0.0547 318.1637
 HME_SW3_4 0.0765 36.1648
 HME_SW4_1 0.0380 215.1310
 HME_SW4_2 0.1293 83.1200
 HME_SW4_3 0.0493 5.0583
 HME_SW4_4 0.0445 323.2032
 HME_SW6_1 0.0226 71.6401
 HME_SW6_2 0.0524 298.3517
 HME_SW6_3 0.0464 163.7568
 HME_TW3_1 0.0720 18.0941
 HME_TW3_2 0.1814 296.0106
 HME_TW3_3 0.2504 168.7179
 HME_TW3_4 0.2254 230.4226
