# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.6858 143.2108
 HME_DE3_2 0.1108 19.2869
 HME_DE2_1 0.3271 34.9201
 HME_DE2_2 0.2482 60.6278
 HME_DE1_1 0.0277 82.9955
 HME_DE1_2 0.1235 263.3786
  HME_D0_1 0.1001 242.3208
  HME_D0_2 0.1933 251.5718
 HME_DW1_1 0.6665 198.2736
 HME_DW2_1 0.2662 4.9909
 HME_SE3_1 0.0302 223.4465
 HME_SE3_2 0.1658 21.7937
 HME_SE3_3 0.0199 206.8621
 HME_SE3_4 0.0207 76.1961
 HME_SE2_1 0.0524 233.7893
 HME_SE2_2 0.0839 247.0332
 HME_SE2_3 0.1952 176.7117
 HME_SE2_4 0.0669 226.2527
 HME_SE1_1 0.0053 158.5982
 HME_SE1_2 0.0190 68.0001
 HME_SE1_3 0.1100 94.2569
 HME_SE1_4 0.0669 266.9494
  HME_S0_1 0.0304 349.6019
  HME_S0_2 0.0634 44.2369
  HME_S0_3 0.0146 18.0436
  HME_S0_4 0.0229 169.5187
 HME_SW1_1 0.0581 172.0847
 HME_SW1_2 0.1216 70.9618
 HME_SW1_3 0.0487 248.7648
 HME_SW1_4 0.0408 15.9197
 HME_SW2_1 0.2480 148.0828
 HME_SW2_2 0.5330 115.9264
 HME_SW2_3 0.4219 342.5175
 HME_SW2_4 0.1215 137.9022
 HME_SW3_1 0.1272 213.0437
 HME_SW3_2 0.1915 88.7260
 HME_SW3_3 0.0671 210.5570
 HME_SW3_4 0.0328 126.5109
 HME_SW4_1 0.1014 235.1681
 HME_SW4_2 0.0768 299.4505
 HME_SW4_3 0.0237 72.2420
 HME_SW4_4 0.0620 32.0827
 HME_SW6_1 0.0269 332.5867
 HME_SW6_2 0.0512 184.4688
 HME_SW6_3 0.0162 14.1311
 HME_TW3_1 0.0941 170.5050
 HME_TW3_2 0.0440 44.1319
 HME_TW3_3 0.1464 77.6296
 HME_TW3_4 0.3056 180.7007
