# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.3910 153.9776
 HME_DE3_2 0.1408 124.8236
 HME_DE2_1 0.2219 57.1215
 HME_DE2_2 0.1498 58.2231
 HME_DE1_1 0.0151 98.2107
 HME_DE1_2 0.0903 105.4606
  HME_D0_1 0.0772 90.5774
  HME_D0_2 0.1321 235.7342
 HME_DW1_1 0.8956 171.7151
 HME_DW2_1 0.1639 268.0433
 HME_SE3_1 0.0186 158.0279
 HME_SE3_2 0.0744 14.9124
 HME_SE3_3 0.0493 100.8691
 HME_SE3_4 0.0135 234.1505
 HME_SE2_1 0.0164 170.1127
 HME_SE2_2 0.1081 181.9602
 HME_SE2_3 0.2016 150.9453
 HME_SE2_4 0.0461 196.8803
 HME_SE1_1 0.0128 154.3111
 HME_SE1_2 0.0132 210.3201
 HME_SE1_3 0.0882 51.6008
 HME_SE1_4 0.0717 332.4748
  HME_S0_1 0.0069 292.1039
  HME_S0_2 0.0667 35.3741
  HME_S0_3 0.1526 0.3441
  HME_S0_4 0.0529 136.5381
 HME_SW1_1 0.0007 161.0074
 HME_SW1_2 0.1141 82.0734
 HME_SW1_3 0.0735 55.5585
 HME_SW1_4 0.1331 57.3289
 HME_SW2_1 0.2589 197.0922
 HME_SW2_2 0.7027 52.5623
 HME_SW2_3 0.8772 354.5832
 HME_SW2_4 0.4037 223.5230
 HME_SW3_1 0.2018 247.0974
 HME_SW3_2 0.1814 153.7052
 HME_SW3_3 0.1818 323.5837
 HME_SW3_4 0.1037 136.8602
 HME_SW4_1 0.1235 227.0327
 HME_SW4_2 0.0634 151.7670
 HME_SW4_3 0.1811 45.5314
 HME_SW4_4 0.0563 71.2149
 HME_SW6_1 0.0473 281.3902
 HME_SW6_2 0.0676 357.1474
 HME_SW6_3 0.0682 219.3888
 HME_TW3_1 0.1166 312.6338
 HME_TW3_2 0.1082 280.7425
 HME_TW3_3 0.2634 98.6055
 HME_TW3_4 0.1705 249.4949
