# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.9644 150.7768
 HME_DE3_2 0.1788 106.2615
 HME_DE2_1 0.1800 59.1047
 HME_DE2_2 0.1782 103.1107
 HME_DE1_1 0.0085 200.6878
 HME_DE1_2 0.2445 227.2504
  HME_D0_1 0.0732 216.5324
  HME_D0_2 0.1373 318.1782
 HME_DW1_1 1.1105 169.1841
 HME_DW2_1 0.3025 220.2941
 HME_SE3_1 0.0221 174.1739
 HME_SE3_2 0.1803 46.8630
 HME_SE3_3 0.0175 148.1472
 HME_SE3_4 0.0249 131.6103
 HME_SE2_1 0.0748 228.4043
 HME_SE2_2 0.0908 287.8856
 HME_SE2_3 0.1020 154.3735
 HME_SE2_4 0.1003 181.7219
 HME_SE1_1 0.0034 106.5353
 HME_SE1_2 0.0282 308.1121
 HME_SE1_3 0.0801 76.3092
 HME_SE1_4 0.0948 306.1367
  HME_S0_1 0.0238 324.7952
  HME_S0_2 0.0465 72.7271
  HME_S0_3 0.0518 74.3027
  HME_S0_4 0.0541 169.5959
 HME_SW1_1 0.0443 283.8225
 HME_SW1_2 0.0556 73.5131
 HME_SW1_3 0.0637 143.7854
 HME_SW1_4 0.0516 93.9317
 HME_SW2_1 0.1897 164.2492
 HME_SW2_2 0.9451 84.8067
 HME_SW2_3 0.2446 318.5705
 HME_SW2_4 0.1749 238.2605
 HME_SW3_1 0.1022 285.6929
 HME_SW3_2 0.1112 78.1071
 HME_SW3_3 0.0224 16.2533
 HME_SW3_4 0.0550 147.9516
 HME_SW4_1 0.0489 189.4352
 HME_SW4_2 0.0860 344.6346
 HME_SW4_3 0.0408 287.0784
 HME_SW4_4 0.0099 358.3670
 HME_SW6_1 0.1141 65.7694
 HME_SW6_2 0.0379 278.5606
 HME_SW6_3 0.0227 230.3928
 HME_TW3_1 0.0504 21.9735
 HME_TW3_2 0.0367 237.6801
 HME_TW3_3 0.3041 114.8010
 HME_TW3_4 0.2664 225.4778
