# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.4276 86.3847
 HME_DE3_2 0.2710 197.1609
 HME_DE2_1 0.2514 37.6237
 HME_DE2_2 0.2743 185.2240
 HME_DE1_1 0.0238 323.1257
 HME_DE1_2 0.0761 307.7548
  HME_D0_1 0.2048 218.0430
  HME_D0_2 0.1175 242.4591
 HME_DW1_1 0.4788 166.7896
 HME_DW2_1 0.4056 244.6889
 HME_SE3_1 0.0305 146.5961
 HME_SE3_2 0.0688 345.0995
 HME_SE3_3 0.0483 130.9612
 HME_SE3_4 0.0564 219.3479
 HME_SE2_1 0.0135 84.9350
 HME_SE2_2 0.1274 262.8014
 HME_SE2_3 0.0579 314.4186
 HME_SE2_4 0.0597 60.9864
 HME_SE1_1 0.0258 116.3993
 HME_SE1_2 0.0256 314.8759
 HME_SE1_3 0.0379 319.5092
 HME_SE1_4 0.0295 277.6534
  HME_S0_1 0.0179 59.1876
  HME_S0_2 0.0410 38.1769
  HME_S0_3 0.1748 64.6474
  HME_S0_4 0.0729 199.2342
 HME_SW1_1 0.0540 10.7042
 HME_SW1_2 0.0909 159.2973
 HME_SW1_3 0.1654 86.7023
 HME_SW1_4 0.0726 335.8555
 HME_SW2_1 0.2025 211.4129
 HME_SW2_2 0.1307 49.2365
 HME_SW2_3 0.6043 328.8828
 HME_SW2_4 0.2104 20.3285
 HME_SW3_1 0.1523 348.8628
 HME_SW3_2 0.1190 166.8880
 HME_SW3_3 0.1578 114.6512
 HME_SW3_4 0.0537 7.6561
 HME_SW4_1 0.3318 167.2500
 HME_SW4_2 0.0355 339.0292
 HME_SW4_3 0.0466 83.5770
 HME_SW4_4 0.0528 167.9463
 HME_SW6_1 0.1413 349.4687
 HME_SW6_2 0.0728 151.6326
 HME_SW6_3 0.0329 171.9568
 HME_TW3_1 0.0658 202.1693
 HME_TW3_2 0.1006 95.5747
 HME_TW3_3 0.2314 44.6287
 HME_TW3_4 0.1703 332.7925
