# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.8666 118.2092
 HME_DE3_2 0.2570 183.3428
 HME_DE2_1 0.1938 44.4760
 HME_DE2_2 0.2254 136.4253
 HME_DE1_1 0.0134 5.8678
 HME_DE1_2 0.1768 195.7002
  HME_D0_1 0.2261 210.7803
  HME_D0_2 0.0070 216.6607
 HME_DW1_1 0.7794 155.3362
 HME_DW2_1 0.4528 232.5902
 HME_SE3_1 0.0315 146.9548
 HME_SE3_2 0.0543 335.8009
 HME_SE3_3 0.0231 190.6996
 HME_SE3_4 0.0308 151.2092
 HME_SE2_1 0.0399 200.7249
 HME_SE2_2 0.1778 214.7995
 HME_SE2_3 0.1422 303.8803
 HME_SE2_4 0.0616 22.4845
 HME_SE1_1 0.0118 140.8180
 HME_SE1_2 0.0113 293.6980
 HME_SE1_3 0.0138 257.6635
 HME_SE1_4 0.0868 254.2448
  HME_S0_1 0.0138 245.6245
  HME_S0_2 0.0355 36.7207
  HME_S0_3 0.1548 27.6044
  HME_S0_4 0.0722 118.6509
 HME_SW1_1 0.0415 328.6115
 HME_SW1_2 0.1014 120.3278
 HME_SW1_3 0.1346 61.4535
 HME_SW1_4 0.0615 236.4371
 HME_SW2_1 0.1042 251.0514
 HME_SW2_2 0.3749 167.4334
 HME_SW2_3 0.4905 3.1260
 HME_SW2_4 0.1743 95.7078
 HME_SW3_1 0.0745 330.7704
 HME_SW3_2 0.1159 106.3100
 HME_SW3_3 0.1104 138.6934
 HME_SW3_4 0.0935 349.2875
 HME_SW4_1 0.3484 151.0080
 HME_SW4_2 0.0838 167.9416
 HME_SW4_3 0.0712 15.5932
 HME_SW4_4 0.0317 351.7119
 HME_SW6_1 0.1203 359.2604
 HME_SW6_2 0.0370 245.2061
 HME_SW6_3 0.0176 353.8357
 HME_TW3_1 0.0518 129.7436
 HME_TW3_2 0.0601 49.3518
 HME_TW3_3 0.3366 106.5909
 HME_TW3_4 0.1938 139.9000
