# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.2589 331.5019
 HME_DE3_2 0.2094 234.7796
 HME_DE2_1 0.1904 76.1034
 HME_DE2_2 0.2345 163.4735
 HME_DE1_1 0.0419 5.7055
 HME_DE1_2 0.0654 265.9484
  HME_D0_1 0.2505 159.2038
  HME_D0_2 0.1129 258.7590
 HME_DW1_1 0.7750 185.7599
 HME_DW2_1 0.3372 273.4386
 HME_SE3_1 0.0335 112.3725
 HME_SE3_2 0.1674 337.2528
 HME_SE3_3 0.0078 75.9920
 HME_SE3_4 0.0350 140.4919
 HME_SE2_1 0.0403 54.8594
 HME_SE2_2 0.1236 308.0185
 HME_SE2_3 0.0067 206.3595
 HME_SE2_4 0.0432 63.0788
 HME_SE1_1 0.0098 78.1998
 HME_SE1_2 0.0344 312.5671
 HME_SE1_3 0.0670 295.8448
 HME_SE1_4 0.0342 282.9940
  HME_S0_1 0.0236 81.5591
  HME_S0_2 0.0252 246.4991
  HME_S0_3 0.0741 347.4823
  HME_S0_4 0.0561 139.3587
 HME_SW1_1 0.0830 312.3335
 HME_SW1_2 0.0307 142.0833
 HME_SW1_3 0.1050 124.9039
 HME_SW1_4 0.1328 270.8687
 HME_SW2_1 0.1856 198.3578
 HME_SW2_2 0.4250 272.9418
 HME_SW2_3 0.6214 305.3588
 HME_SW2_4 0.1942 346.6998
 HME_SW3_1 0.0698 33.9168
 HME_SW3_2 0.0591 225.8517
 HME_SW3_3 0.1022 127.1867
 HME_SW3_4 0.0373 26.9748
 HME_SW4_1 0.3058 171.7044
 HME_SW4_2 0.2480 355.8391
 HME_SW4_3 0.1587 3.4235
 HME_SW4_4 0.0181 195.0535
 HME_SW6_1 0.0375 313.5070
 HME_SW6_2 0.0343 9.9259
 HME_SW6_3 0.0688 187.9733
 HME_TW3_1 0.0827 89.3415
 HME_TW3_2 0.0173 208.5646
 HME_TW3_3 0.1150 351.5780
 HME_TW3_4 0.2839 341.1560
