# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.3172 339.3484
 HME_DE3_2 0.2135 231.5422
 HME_DE2_1 0.2097 80.2358
 HME_DE2_2 0.1841 160.9430
 HME_DE1_1 0.0363 353.9747
 HME_DE1_2 0.0746 329.1998
  HME_D0_1 0.1895 148.1581
  HME_D0_2 0.1297 263.1915
 HME_DW1_1 0.8476 183.4879
 HME_DW2_1 0.3586 263.8661
 HME_SE3_1 0.0345 122.0684
 HME_SE3_2 0.1805 345.6819
 HME_SE3_3 0.0148 158.2914
 HME_SE3_4 0.0431 154.9612
 HME_SE2_1 0.0425 63.8116
 HME_SE2_2 0.1167 318.7846
 HME_SE2_3 0.0436 206.6940
 HME_SE2_4 0.0522 108.6622
 HME_SE1_1 0.0097 85.1107
 HME_SE1_2 0.0239 310.4968
 HME_SE1_3 0.0574 289.1958
 HME_SE1_4 0.0097 2.4302
  HME_S0_1 0.0242 59.7628
  HME_S0_2 0.0205 199.9676
  HME_S0_3 0.0587 335.4242
  HME_S0_4 0.0560 143.3973
 HME_SW1_1 0.0752 291.7906
 HME_SW1_2 0.0372 179.0331
 HME_SW1_3 0.1553 116.7036
 HME_SW1_4 0.1094 272.0645
 HME_SW2_1 0.2316 197.9115
 HME_SW2_2 0.4370 268.2972
 HME_SW2_3 0.5772 307.3391
 HME_SW2_4 0.2593 341.2165
 HME_SW3_1 0.0600 57.7936
 HME_SW3_2 0.0138 290.7093
 HME_SW3_3 0.1188 136.6979
 HME_SW3_4 0.0515 57.5457
 HME_SW4_1 0.2943 178.4372
 HME_SW4_2 0.2225 356.7489
 HME_SW4_3 0.1379 10.7436
 HME_SW4_4 0.0162 174.7411
 HME_SW6_1 0.0246 327.5046
 HME_SW6_2 0.0243 14.7774
 HME_SW6_3 0.0672 192.0273
 HME_TW3_1 0.1146 81.6841
 HME_TW3_2 0.1094 166.6947
 HME_TW3_3 0.0319 65.6189
 HME_TW3_4 0.3169 338.9213
