# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.6274 140.3383
 HME_DE3_2 0.1266 33.9901
 HME_DE2_1 0.3196 39.9737
 HME_DE2_2 0.2324 46.6727
 HME_DE1_1 0.0222 90.2830
 HME_DE1_2 0.0766 263.3632
  HME_D0_1 0.0768 272.8069
  HME_D0_2 0.1780 255.9843
 HME_DW1_1 0.6229 196.5367
 HME_DW2_1 0.2512 9.5268
 HME_SE3_1 0.0250 212.4602
 HME_SE3_2 0.1443 22.1614
 HME_SE3_3 0.0184 172.6297
 HME_SE3_4 0.0171 69.9055
 HME_SE2_1 0.0378 231.0041
 HME_SE2_2 0.0827 239.2453
 HME_SE2_3 0.1840 178.1828
 HME_SE2_4 0.0687 248.8868
 HME_SE1_1 0.0124 115.5377
 HME_SE1_2 0.0326 119.2865
 HME_SE1_3 0.1064 95.7350
 HME_SE1_4 0.0248 289.9008
  HME_S0_1 0.0227 346.1722
  HME_S0_2 0.0653 35.8545
  HME_S0_3 0.0325 36.6518
  HME_S0_4 0.0215 61.0445
 HME_SW1_1 0.0538 176.4463
 HME_SW1_2 0.1293 76.7522
 HME_SW1_3 0.0583 255.5066
 HME_SW1_4 0.0588 61.0925
 HME_SW2_1 0.2138 158.1062
 HME_SW2_2 0.4522 91.9008
 HME_SW2_3 0.6004 357.8620
 HME_SW2_4 0.2487 184.5140
 HME_SW3_1 0.1075 204.5399
 HME_SW3_2 0.1952 86.5835
 HME_SW3_3 0.0359 241.0317
 HME_SW3_4 0.0474 131.6936
 HME_SW4_1 0.1085 224.4779
 HME_SW4_2 0.0700 321.5090
 HME_SW4_3 0.0500 76.0028
 HME_SW4_4 0.0522 37.4746
 HME_SW6_1 0.0187 308.3161
 HME_SW6_2 0.0450 192.3697
 HME_SW6_3 0.0044 96.0511
 HME_TW3_1 0.0669 206.8912
 HME_TW3_2 0.0807 40.6962
 HME_TW3_3 0.2302 94.0025
 HME_TW3_4 0.3143 166.1502
