# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.8443 147.4889
 HME_DE3_2 0.1535 87.0554
 HME_DE2_1 0.2039 40.4021
 HME_DE2_2 0.1751 90.8283
 HME_DE1_1 0.0047 148.4323
 HME_DE1_2 0.2148 246.7292
  HME_D0_1 0.0854 234.7378
  HME_D0_2 0.1169 315.6538
 HME_DW1_1 1.0345 179.7107
 HME_DW2_1 0.1700 234.2246
 HME_SE3_1 0.0217 204.9713
 HME_SE3_2 0.1832 39.0650
 HME_SE3_3 0.0300 197.2910
 HME_SE3_4 0.0388 126.0400
 HME_SE2_1 0.0558 232.6180
 HME_SE2_2 0.0936 283.6737
 HME_SE2_3 0.1357 171.4311
 HME_SE2_4 0.0881 185.8236
 HME_SE1_1 0.0012 278.2394
 HME_SE1_2 0.0245 335.4264
 HME_SE1_3 0.0732 87.1346
 HME_SE1_4 0.1025 294.9027
  HME_S0_1 0.0332 2.7213
  HME_S0_2 0.0415 86.2384
  HME_S0_3 0.0372 76.1540
  HME_S0_4 0.0485 171.8433
 HME_SW1_1 0.0404 267.2847
 HME_SW1_2 0.0780 76.2638
 HME_SW1_3 0.0543 175.7159
 HME_SW1_4 0.0461 73.2497
 HME_SW2_1 0.2519 183.0323
 HME_SW2_2 0.7807 100.0609
 HME_SW2_3 0.1826 330.7611
 HME_SW2_4 0.0658 212.3513
 HME_SW3_1 0.0983 249.3355
 HME_SW3_2 0.1438 91.7214
 HME_SW3_3 0.0385 106.0709
 HME_SW3_4 0.0707 130.9566
 HME_SW4_1 0.0883 218.5527
 HME_SW4_2 0.0962 340.1241
 HME_SW4_3 0.0380 291.6885
 HME_SW4_4 0.0116 327.8339
 HME_SW6_1 0.1218 101.2500
 HME_SW6_2 0.0149 218.0621
 HME_SW6_3 0.0157 246.4149
 HME_TW3_1 0.1342 36.0271
 HME_TW3_2 0.0642 339.8161
 HME_TW3_3 0.2993 119.3980
 HME_TW3_4 0.2457 211.6904
