# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.4559 96.0391
 HME_DE3_2 0.2830 198.3686
 HME_DE2_1 0.2380 35.8992
 HME_DE2_2 0.2692 168.9585
 HME_DE1_1 0.0172 327.7388
 HME_DE1_2 0.0824 267.4279
  HME_D0_1 0.2169 222.6093
  HME_D0_2 0.1287 244.7837
 HME_DW1_1 0.4503 171.5288
 HME_DW2_1 0.4238 246.9180
 HME_SE3_1 0.0251 129.6760
 HME_SE3_2 0.0641 353.8778
 HME_SE3_3 0.0504 146.5837
 HME_SE3_4 0.0537 219.4679
 HME_SE2_1 0.0205 109.9198
 HME_SE2_2 0.1575 255.5539
 HME_SE2_3 0.0720 325.8008
 HME_SE2_4 0.0623 41.3835
 HME_SE1_1 0.0196 125.2293
 HME_SE1_2 0.0352 301.4183
 HME_SE1_3 0.0342 308.9806
 HME_SE1_4 0.0543 259.3744
  HME_S0_1 0.0096 92.1686
  HME_S0_2 0.0364 29.2713
  HME_S0_3 0.1805 62.5480
  HME_S0_4 0.0752 189.6303
 HME_SW1_1 0.0458 3.9128
 HME_SW1_2 0.0965 138.7779
 HME_SW1_3 0.1547 75.4501
 HME_SW1_4 0.0849 321.2261
 HME_SW2_1 0.2248 223.5216
 HME_SW2_2 0.2448 132.9532
 HME_SW2_3 0.5993 341.5743
 HME_SW2_4 0.3020 36.1028
 HME_SW3_1 0.1064 330.7211
 HME_SW3_2 0.1042 143.5190
 HME_SW3_3 0.1778 125.9556
 HME_SW3_4 0.0348 41.2424
 HME_SW4_1 0.3740 170.6164
 HME_SW4_2 0.0018 192.9312
 HME_SW4_3 0.0643 96.5302
 HME_SW4_4 0.0346 180.0095
 HME_SW6_1 0.1746 357.7485
 HME_SW6_2 0.0801 165.1496
 HME_SW6_3 0.0240 180.7691
 HME_TW3_1 0.0628 274.7517
 HME_TW3_2 0.0491 85.8781
 HME_TW3_3 0.2461 46.7178
 HME_TW3_4 0.0474 291.9390
