# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.9021 122.8558
 HME_DE3_2 0.1967 174.8677
 HME_DE2_1 0.1511 50.1764
 HME_DE2_2 0.2056 118.9495
 HME_DE1_1 0.0385 57.3893
 HME_DE1_2 0.1565 192.7358
  HME_D0_1 0.1545 219.7495
  HME_D0_2 0.0071 40.0844
 HME_DW1_1 0.9228 154.0517
 HME_DW2_1 0.4543 213.8735
 HME_SE3_1 0.0354 164.6493
 HME_SE3_2 0.0641 21.0313
 HME_SE3_3 0.0396 210.3021
 HME_SE3_4 0.0267 158.7379
 HME_SE2_1 0.0332 206.0132
 HME_SE2_2 0.1950 207.1378
 HME_SE2_3 0.1025 279.1069
 HME_SE2_4 0.0310 72.6687
 HME_SE1_1 0.0050 171.3207
 HME_SE1_2 0.0068 298.6688
 HME_SE1_3 0.0030 24.4392
 HME_SE1_4 0.0866 261.3249
  HME_S0_1 0.0151 265.9210
  HME_S0_2 0.0404 38.4910
  HME_S0_3 0.1425 9.0171
  HME_S0_4 0.0898 132.6495
 HME_SW1_1 0.0575 329.5409
 HME_SW1_2 0.0748 95.4670
 HME_SW1_3 0.1618 31.5193
 HME_SW1_4 0.0475 191.8478
 HME_SW2_1 0.0392 202.0126
 HME_SW2_2 0.1956 130.6894
 HME_SW2_3 0.3778 3.2137
 HME_SW2_4 0.2996 190.8891
 HME_SW3_1 0.0816 309.4300
 HME_SW3_2 0.2056 76.7226
 HME_SW3_3 0.0484 110.7704
 HME_SW3_4 0.0522 348.9243
 HME_SW4_1 0.2771 136.4868
 HME_SW4_2 0.1537 141.6545
 HME_SW4_3 0.1113 1.9981
 HME_SW4_4 0.0763 357.5379
 HME_SW6_1 0.0928 340.9661
 HME_SW6_2 0.0868 282.3040
 HME_SW6_3 0.0187 53.9763
 HME_TW3_1 0.0920 137.0390
 HME_TW3_2 0.1219 7.8324
 HME_TW3_3 0.4071 118.1964
 HME_TW3_4 0.1697 179.0689
