# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.7635 113.4734
 HME_DE3_2 0.3195 180.1472
 HME_DE2_1 0.2194 35.3459
 HME_DE2_2 0.2571 140.2393
 HME_DE1_1 0.0115 337.6273
 HME_DE1_2 0.1522 195.5358
  HME_D0_1 0.2380 217.4018
  HME_D0_2 0.0703 252.6214
 HME_DW1_1 0.6076 156.3592
 HME_DW2_1 0.5185 240.1613
 HME_SE3_1 0.0325 158.2872
 HME_SE3_2 0.0665 326.6363
 HME_SE3_3 0.0156 161.3627
 HME_SE3_4 0.0336 169.8488
 HME_SE2_1 0.0365 189.0780
 HME_SE2_2 0.1733 228.8498
 HME_SE2_3 0.1630 307.0197
 HME_SE2_4 0.0672 21.3831
 HME_SE1_1 0.0107 121.9985
 HME_SE1_2 0.0246 309.8836
 HME_SE1_3 0.0197 317.6953
 HME_SE1_4 0.0738 259.5650
  HME_S0_1 0.0155 214.1719
  HME_S0_2 0.0306 33.6250
  HME_S0_3 0.1629 39.6310
  HME_S0_4 0.0300 146.6224
 HME_SW1_1 0.0398 328.5728
 HME_SW1_2 0.1188 140.0270
 HME_SW1_3 0.1966 78.6652
 HME_SW1_4 0.0545 315.7080
 HME_SW2_1 0.2038 237.7238
 HME_SW2_2 0.3585 168.1130
 HME_SW2_3 0.5367 358.4326
 HME_SW2_4 0.2821 70.0664
 HME_SW3_1 0.0727 335.5557
 HME_SW3_2 0.1378 97.3090
 HME_SW3_3 0.1570 124.6920
 HME_SW3_4 0.0892 1.0067
 HME_SW4_1 0.3872 153.8151
 HME_SW4_2 0.0507 223.7259
 HME_SW4_3 0.0491 2.6861
 HME_SW4_4 0.0150 354.5639
 HME_SW6_1 0.1441 359.7035
 HME_SW6_2 0.0465 201.9380
 HME_SW6_3 0.0136 292.9199
 HME_TW3_1 0.0198 59.0323
 HME_TW3_2 0.1070 60.4346
 HME_TW3_3 0.2362 82.1715
 HME_TW3_4 0.2369 137.4406
