# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.4319 154.4683
 HME_DE3_2 0.1709 150.0161
 HME_DE2_1 0.1909 58.4665
 HME_DE2_2 0.1573 85.7237
 HME_DE1_1 0.0200 59.7229
 HME_DE1_2 0.1433 103.9068
  HME_D0_1 0.0176 180.2538
  HME_D0_2 0.1002 218.9460
 HME_DW1_1 0.9678 168.6317
 HME_DW2_1 0.1348 234.2904
 HME_SE3_1 0.0276 163.4290
 HME_SE3_2 0.0691 17.0070
 HME_SE3_3 0.0457 156.5190
 HME_SE3_4 0.0431 183.0506
 HME_SE2_1 0.0184 209.6102
 HME_SE2_2 0.1195 191.3838
 HME_SE2_3 0.1903 155.9135
 HME_SE2_4 0.0672 138.0583
 HME_SE1_1 0.0123 121.4650
 HME_SE1_2 0.0158 299.1326
 HME_SE1_3 0.0707 35.2117
 HME_SE1_4 0.0913 317.4352
  HME_S0_1 0.0107 18.5492
  HME_S0_2 0.0565 30.8049
  HME_S0_3 0.1890 348.3823
  HME_S0_4 0.1137 127.4572
 HME_SW1_1 0.0061 86.9443
 HME_SW1_2 0.0661 80.5438
 HME_SW1_3 0.1129 41.4905
 HME_SW1_4 0.1176 66.1367
 HME_SW2_1 0.2836 179.6929
 HME_SW2_2 0.5193 65.2382
 HME_SW2_3 0.8464 357.0131
 HME_SW2_4 0.1739 235.5166
 HME_SW3_1 0.2461 250.3472
 HME_SW3_2 0.2797 148.0946
 HME_SW3_3 0.2064 306.9519
 HME_SW3_4 0.1370 133.3827
 HME_SW4_1 0.1574 212.8571
 HME_SW4_2 0.1078 140.1388
 HME_SW4_3 0.1938 46.4439
 HME_SW4_4 0.0651 72.9616
 HME_SW6_1 0.0722 334.7475
 HME_SW6_2 0.0616 24.4633
 HME_SW6_3 0.0509 224.2411
 HME_TW3_1 0.1101 286.3587
 HME_TW3_2 0.0790 213.8338
 HME_TW3_3 0.2668 107.5145
 HME_TW3_4 0.0721 242.4122
