# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.3163 328.4685
 HME_DE3_2 0.2182 209.1939
 HME_DE2_1 0.1910 69.6419
 HME_DE2_2 0.0890 164.4606
 HME_DE1_1 0.0447 37.7910
 HME_DE1_2 0.1182 30.6203
  HME_D0_1 0.1482 133.6221
  HME_D0_2 0.1147 250.6595
 HME_DW1_1 1.0031 175.7651
 HME_DW2_1 0.2668 258.4509
 HME_SE3_1 0.0434 127.1068
 HME_SE3_2 0.1423 349.0166
 HME_SE3_3 0.0507 136.0314
 HME_SE3_4 0.0361 165.5507
 HME_SE2_1 0.0299 29.8813
 HME_SE2_2 0.1306 300.0696
 HME_SE2_3 0.0592 252.7422
 HME_SE2_4 0.0599 135.9765
 HME_SE1_1 0.0100 110.0700
 HME_SE1_2 0.0067 267.6132
 HME_SE1_3 0.0456 268.4851
 HME_SE1_4 0.0337 1.3721
  HME_S0_1 0.0264 66.4283
  HME_S0_2 0.0114 153.8596
  HME_S0_3 0.0867 322.5117
  HME_S0_4 0.0848 160.7100
 HME_SW1_1 0.0240 222.3679
 HME_SW1_2 0.1143 128.1988
 HME_SW1_3 0.1337 110.6968
 HME_SW1_4 0.1028 282.6421
 HME_SW2_1 0.2265 160.4445
 HME_SW2_2 0.6482 257.0110
 HME_SW2_3 0.5699 319.7600
 HME_SW2_4 0.2063 9.6311
 HME_SW3_1 0.0368 119.8793
 HME_SW3_2 0.0581 269.0250
 HME_SW3_3 0.0970 153.7596
 HME_SW3_4 0.0367 64.8662
 HME_SW4_1 0.3779 182.4446
 HME_SW4_2 0.1293 17.5632
 HME_SW4_3 0.1651 10.6274
 HME_SW4_4 0.0200 51.1022
 HME_SW6_1 0.0378 27.6408
 HME_SW6_2 0.0321 37.8621
 HME_SW6_3 0.0536 208.5658
 HME_TW3_1 0.0865 83.1666
 HME_TW3_2 0.1290 90.3148
 HME_TW3_3 0.2306 112.4513
 HME_TW3_4 0.2723 6.7496
