# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.3963 143.7506
 HME_DE3_2 0.1780 157.4401
 HME_DE2_1 0.1869 66.1637
 HME_DE2_2 0.1400 86.2721
 HME_DE1_1 0.0086 3.5183
 HME_DE1_2 0.0768 118.7824
  HME_D0_1 0.0875 219.7210
  HME_D0_2 0.1708 257.8239
 HME_DW1_1 1.1647 170.2249
 HME_DW2_1 0.2338 272.5748
 HME_SE3_1 0.0292 189.2838
 HME_SE3_2 0.0995 28.1670
 HME_SE3_3 0.0370 181.0015
 HME_SE3_4 0.0043 285.5929
 HME_SE2_1 0.0187 225.0356
 HME_SE2_2 0.1245 167.9744
 HME_SE2_3 0.2185 139.9701
 HME_SE2_4 0.0590 140.0007
 HME_SE1_1 0.0175 166.9815
 HME_SE1_2 0.0145 214.3872
 HME_SE1_3 0.0667 78.2703
 HME_SE1_4 0.0540 275.1756
  HME_S0_1 0.0120 147.3546
  HME_S0_2 0.0681 21.4270
  HME_S0_3 0.0886 343.9198
  HME_S0_4 0.0882 93.6027
 HME_SW1_1 0.0150 313.4743
 HME_SW1_2 0.0570 355.8373
 HME_SW1_3 0.0641 357.1539
 HME_SW1_4 0.1129 53.8165
 HME_SW2_1 0.2222 166.8620
 HME_SW2_2 0.6739 43.4844
 HME_SW2_3 0.9365 347.2197
 HME_SW2_4 0.4967 227.1724
 HME_SW3_1 0.1479 215.7087
 HME_SW3_2 0.2920 125.8448
 HME_SW3_3 0.1410 296.1597
 HME_SW3_4 0.0655 122.5980
 HME_SW4_1 0.0944 214.2695
 HME_SW4_2 0.1229 138.5498
 HME_SW4_3 0.1466 37.0219
 HME_SW4_4 0.0748 31.2126
 HME_SW6_1 0.0674 266.8011
 HME_SW6_2 0.1209 336.6890
 HME_SW6_3 0.0460 200.7813
 HME_TW3_1 0.1326 218.5889
 HME_TW3_2 0.0892 206.0542
 HME_TW3_3 0.3100 131.3049
 HME_TW3_4 0.1815 252.3667
