# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.8830 146.0377
 HME_DE3_2 0.2447 135.2494
 HME_DE2_1 0.1611 61.4996
 HME_DE2_2 0.1149 129.1147
 HME_DE1_1 0.0248 105.6270
 HME_DE1_2 0.1209 196.3704
  HME_D0_1 0.1607 275.5039
  HME_D0_2 0.1999 339.1957
 HME_DW1_1 1.2338 143.7895
 HME_DW2_1 0.5616 197.8184
 HME_SE3_1 0.0444 147.3258
 HME_SE3_2 0.0769 23.9851
 HME_SE3_3 0.0663 263.8549
 HME_SE3_4 0.0227 169.9123
 HME_SE2_1 0.0319 250.1094
 HME_SE2_2 0.1357 226.8294
 HME_SE2_3 0.0865 220.7090
 HME_SE2_4 0.0734 141.7267
 HME_SE1_1 0.0075 47.7733
 HME_SE1_2 0.0101 289.6268
 HME_SE1_3 0.0281 62.6447
 HME_SE1_4 0.0765 243.0148
  HME_S0_1 0.0065 258.5762
  HME_S0_2 0.0346 54.4840
  HME_S0_3 0.0689 16.1539
  HME_S0_4 0.0800 115.7027
 HME_SW1_1 0.0758 307.3331
 HME_SW1_2 0.0142 327.7653
 HME_SW1_3 0.1759 95.5752
 HME_SW1_4 0.0921 107.3460
 HME_SW2_1 0.1184 119.7505
 HME_SW2_2 0.4403 73.1614
 HME_SW2_3 0.5182 318.4040
 HME_SW2_4 0.3916 216.6170
 HME_SW3_1 0.1369 304.0108
 HME_SW3_2 0.3472 56.4785
 HME_SW3_3 0.1170 289.2172
 HME_SW3_4 0.0596 0.1254
 HME_SW4_1 0.1293 97.9722
 HME_SW4_2 0.1689 101.6323
 HME_SW4_3 0.1195 5.9086
 HME_SW4_4 0.0744 0.7931
 HME_SW6_1 0.0489 329.5066
 HME_SW6_2 0.1057 292.5862
 HME_SW6_3 0.0182 223.7848
 HME_TW3_1 0.0802 155.2596
 HME_TW3_2 0.0604 13.6176
 HME_TW3_3 0.2486 126.0700
 HME_TW3_4 0.2054 208.2949
