# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 0.6849 127.7453
 HME_DE3_2 0.0861 78.3841
 HME_DE2_1 0.2789 46.8407
 HME_DE2_2 0.1786 77.6328
 HME_DE1_1 0.0552 94.8457
 HME_DE1_2 0.1511 189.6263
  HME_D0_1 0.0866 233.2467
  HME_D0_2 0.1909 237.4597
 HME_DW1_1 0.8706 189.0761
 HME_DW2_1 0.2336 312.7757
 HME_SE3_1 0.0260 199.3250
 HME_SE3_2 0.1294 24.0493
 HME_SE3_3 0.0262 304.8502
 HME_SE3_4 0.0152 69.8249
 HME_SE2_1 0.0560 222.9291
 HME_SE2_2 0.0839 194.9341
 HME_SE2_3 0.2254 154.1029
 HME_SE2_4 0.0454 158.9102
 HME_SE1_1 0.0120 109.2265
 HME_SE1_2 0.0171 162.1131
 HME_SE1_3 0.0978 69.2529
 HME_SE1_4 0.0835 281.0178
  HME_S0_1 0.0065 24.1247
  HME_S0_2 0.0885 18.1515
  HME_S0_3 0.1303 341.8065
  HME_S0_4 0.0952 126.0903
 HME_SW1_1 0.0387 122.8055
 HME_SW1_2 0.0951 30.9814
 HME_SW1_3 0.0586 43.1289
 HME_SW1_4 0.0593 331.4320
 HME_SW2_1 0.1724 155.8636
 HME_SW2_2 0.5785 56.2587
 HME_SW2_3 0.7337 352.7377
 HME_SW2_4 0.3106 206.3528
 HME_SW3_1 0.1357 173.8149
 HME_SW3_2 0.1793 79.3062
 HME_SW3_3 0.0461 245.8125
 HME_SW3_4 0.0372 167.8508
 HME_SW4_1 0.1374 238.5633
 HME_SW4_2 0.0486 82.9871
 HME_SW4_3 0.0682 23.5424
 HME_SW4_4 0.0434 40.5482
 HME_SW6_1 0.0432 105.0636
 HME_SW6_2 0.0378 336.4768
 HME_SW6_3 0.0064 186.6250
 HME_TW3_1 0.1370 174.5069
 HME_TW3_2 0.0423 64.8233
 HME_TW3_3 0.2495 112.7975
 HME_TW3_4 0.1830 192.4150
